iter	Passed	Remaining
0	71	386822
1	134	365823
2	186	338962
3	238	325021
4	299	325538
5	354	320902
6	410	319284
7	467	317751
8	523	316361
9	584	317522
10	638	315387
11	689	312118
12	737	308273
13	793	307814
14	860	311332
15	917	311314
16	970	309977
17	1023	308673
18	1075	307276
19	1133	307348
20	1183	305602
21	1239	305563
22	1297	305771
23	1355	306232
24	1414	306676
25	1468	305975
26	1524	305980
27	1583	306431
28	1641	306496
29	1697	306350
30	1752	306022
31	1807	305772
32	1865	305951
33	1925	306459
34	1974	305134
35	2033	305557
36	2087	305130
37	2148	305659
38	2205	305654
39	2254	304575
40	2315	305229
41	2367	304604
42	2418	303850
43	2462	302225
44	2509	301182
45	2557	300125
46	2612	300056
47	2657	298810
48	2713	298793
49	2762	298064
50	2816	297870
51	2868	297490
52	2930	298144
53	2986	298188
54	3046	298543
55	3091	297533
56	3148	297642
57	3190	296373
58	3242	296017
59	3298	296035
60	3362	296808
61	3418	296796
62	3473	296734
63	3532	297039
64	3591	297256
65	3640	296739
66	3702	297194
67	3761	297443
68	3817	297452
69	3867	296938
70	3910	295980
71	3962	295711
72	4019	295776
73	4074	295706
74	4137	296247
75	4193	296268
76	4252	296478
77	4299	295831
78	4357	295966
79	4406	295531
80	4457	295156
81	4516	295402
82	4585	296209
83	4644	296441
84	4702	296546
85	4762	296778
86	4827	297289
87	4886	297481
88	4945	297601
89	5008	297981
90	5067	298122
91	5121	298008
92	5174	297804
93	5241	298389
94	5307	298913
95	5354	298345
96	5410	298277
97	5473	298629
98	5537	299029
99	5588	298696
100	5659	299451
101	5721	299706
102	5783	299975
103	5835	299694
104	5898	299957
105	5960	300225
106	6026	300634
107	6082	300562
108	6144	300788
109	6202	300809
110	6263	300963
111	6322	301072
112	6396	301822
113	6457	301965
114	6513	301895
115	6567	301701
116	6630	301943
117	6694	302210
118	6763	302725
119	6825	302877
120	6896	303443
121	6964	303864
122	7027	304060
123	7086	304099
124	7155	304530
125	7214	304557
126	7269	304405
127	7332	304586
128	7400	304954
129	7467	305304
130	7539	305827
131	7602	305982
132	7668	306271
133	7738	306722
134	7793	306551
135	7853	306564
136	7913	306590
137	7976	306764
138	8037	306822
139	8102	307016
140	8165	307158
141	8225	307186
142	8299	307717
143	8356	307608
144	8416	307646
145	8490	308143
146	8561	308567
147	8632	308945
148	8695	309063
149	8759	309205
150	8826	309452
151	8901	309969
152	8971	310313
153	9040	310611
154	9102	310643
155	9174	311043
156	9241	311276
157	9310	311532
158	9382	311928
159	9448	312084
160	9507	312028
161	9577	312343
162	9654	312847
163	9720	313003
164	9779	312954
165	9851	313305
166	9919	313495
167	9980	313492
168	10050	313775
169	10116	313906
170	10176	313873
171	10245	314083
172	10301	313934
173	10381	314501
174	10462	315071
175	10526	315131
176	10596	315372
177	10660	315449
178	10713	315194
179	10762	314809
180	10839	315229
181	10913	315589
182	10982	315795
183	11054	316085
184	11125	316328
185	11194	316502
186	11254	316456
187	11319	316530
188	11383	316569
189	11444	316530
190	11514	316737
191	11578	316778
192	11640	316771
193	11706	316863
194	11782	317213
195	11850	317354
196	11912	317351
197	11984	317588
198	12040	317413
199	12107	317511
200	12170	317524
201	12236	317606
202	12306	317796
203	12385	318195
204	12454	318358
205	12523	318491
206	12589	318563
207	12648	318455
208	12717	318614
209	12786	318753
210	12855	318897
211	12930	319171
212	12986	319000
213	13054	319112
214	13128	319360
215	13201	319582
216	13267	319637
217	13334	319731
218	13399	319762
219	13478	320123
220	13539	320057
221	13606	320114
222	13674	320209
223	13741	320277
224	13799	320159
225	13871	320332
226	13942	320497
227	14010	320576
228	14075	320605
229	14147	320769
230	14210	320748
231	14278	320831
232	14354	321099
233	14418	321092
234	14483	321094
235	14545	321042
236	14625	321383
237	14698	321584
238	14755	321403
239	14824	321500
240	14899	321724
241	14966	321781
242	15036	321885
