iter	Passed	Remaining
0	10	304804
1	17	268974
2	24	249589
3	31	237729
4	37	225251
5	43	219282
6	50	214264
7	56	211420
8	61	206530
9	67	201016
10	72	197587
11	76	192009
12	81	189084
13	87	186642
14	92	185259
15	98	183817
16	103	182443
17	107	179577
18	112	177974
19	116	175368
20	122	175278
21	127	173412
22	131	171721
23	139	173954
24	143	171967
25	149	172190
26	155	172461
27	160	171289
28	164	170155
29	170	170021
30	177	171145
31	183	171551
32	188	170764
33	192	169337
34	197	168873
35	201	167594
36	205	166820
37	208	164443
38	214	164713
39	218	163938
40	224	163803
41	230	164159
42	234	163169
43	238	162355
44	244	163081
45	249	162400
46	254	161974
47	259	161827
48	263	161333
49	268	160905
50	273	160526
51	279	160707
52	284	160721
53	289	160553
54	295	160838
55	300	160880
56	306	160866
57	310	160516
58	315	159869
59	319	159619
60	325	159819
61	329	159147
62	335	159441
63	341	159528
64	346	159616
65	352	160078
66	359	160545
67	364	160519
68	369	160331
69	375	160398
70	380	160402
71	385	160421
72	391	160329
73	395	159776
74	400	159674
75	405	159516
76	411	159802
77	415	159364
78	420	159112
79	424	158924
80	429	158782
81	434	158366
82	439	158255
83	442	157656
84	447	157434
85	451	156970
86	455	156645
87	460	156493
88	465	156322
89	469	156089
90	474	155838
91	478	155442
92	483	155560
93	488	155558
94	494	155783
95	499	155488
96	504	155528
97	508	155083
98	512	154829
99	519	155303
100	524	155220
101	530	155568
102	535	155490
103	539	155218
104	545	155250
105	549	154982
106	553	154614
107	557	154273
108	561	153995
109	566	153807
110	569	153463
111	573	153094
112	577	152843
113	582	152796
114	587	152593
115	593	152944
116	602	153932
117	609	154239
118	613	153971
119	617	153645
120	620	153332
121	627	153673
122	632	153751
123	637	153574
124	641	153228
125	644	152860
126	649	152846
127	653	152454
128	655	151847
129	659	151464
130	663	151330
131	667	151031
132	672	150915
133	676	150877
134	680	150639
135	686	150652
136	691	150788
137	697	150893
138	703	151100
139	708	151068
140	716	151721
141	721	151660
142	727	151858
143	731	151644
144	736	151632
145	742	151890
146	747	151893
147	752	151840
148	757	151845
149	762	151713
150	767	151665
151	772	151710
152	777	151640
153	783	151781
154	788	151828
155	793	151719
156	797	151602
157	803	151719
158	809	151897
159	814	151834
160	819	151959
161	825	152077
162	829	151838
163	835	151976
164	841	152220
165	847	152307
166	851	152188
167	854	151686
168	857	151417
169	861	151241
170	866	151230
171	872	151273
172	877	151362
173	882	151325
174	886	151148
175	891	151098
176	896	150994
177	900	150849
178	906	151051
179	911	151062
180	916	151061
181	922	151170
182	927	151102
183	933	151279
184	938	151236
185	942	151054
186	946	150976
187	951	150888
188	956	150896
189	960	150666
190	965	150653
191	967	150215
192	970	149825
193	974	149725
194	982	150118
195	989	150407
196	995	150616
197	1002	150906
198	1008	151056
199	1013	151030
200	1018	151024
201	1025	151229
202	1031	151417
203	1038	151741
204	1044	151771
205	1049	151738
206	1053	151600
207	1058	151548
208	1062	151424
209	1067	151466
210	1073	151571
211	1078	151528
212	1083	151583
213	1088	151496
214	1093	151493
215	1097	151377
216	1101	151200
217	1105	151060
218	1110	151074
219	1116	151101
220	1121	151114
221	1126	151109
222	1131	151138
223	1135	151005
224	1142	151181
225	1149	151406
226	1154	151450
227	1159	151354
228	1164	151438
229	1170	151502
230	1175	151450
231	1181	151577
232	1186	151587
233	1190	151490
234	1196	151535
235	1201	151487
236	1206	151519
237	1211	151494
238	1216	151450
239	1222	151535
240	1227	151518
241	1232	151498
242	1236	151394
243	1242	151482
244	1247	151480
245	1252	151503
246	1256	151402
247	1261	151367
248	1267	151426
249	1271	151293
250	1276	151266
251	1281	151230
252	1285	151161
253	1290	151156
254	1294	151017
255	1298	150900
256	1303	150909
257	1308	150847
258	1313	150852
259	1318	150794
260	1323	150820
261	1329	150861
262	1333	150736
263	1337	150670
264	1340	150417
265	1345	150396
266	1350	150370
267	1354	150285
268	1358	150189
269	1364	150198
270	1369	150195
271	1373	150128
272	1378	150109
273	1383	150094
274	1388	150033
275	1393	150061
276	1397	150000
277	1402	149930
278	1406	149809
279	1411	149775
280	1415	149691
281	1419	149638
282	1424	149561
283	1428	149503
284	1434	149517
285	1439	149584
286	1444	149550
287	1449	149522
288	1455	149640
289	1460	149615
290	1464	149486
291	1469	149504
292	1474	149475
293	1478	149409
294	1482	149329
295	1488	149381
296	1492	149258
297	1496	149165
298	1502	149210
299	1506	149173
300	1511	149161
301	1516	149097
302	1522	149191
303	1528	149276
304	1533	149304
305	1538	149246
306	1545	149522
307	1552	149651
308	1558	149739
309	1562	149676
310	1569	149788
311	1572	149673
312	1577	149603
313	1581	149519
314	1585	149443
315	1590	149405
316	1595	149370
317	1599	149323
318	1604	149262
319	1609	149319
320	1613	149153
321	1617	149038
322	1622	149054
323	1626	149000
324	1631	148938
325	1636	148930
326	1641	148917
327	1645	148853
328	1649	148764
329	1654	148772
330	1660	148874
331	1665	148841
332	1671	148928
333	1676	148946
334	1685	149228
335	1690	149231
336	1695	149198
337	1700	149246
338	1705	149196
339	1711	149313
340	1716	149294
341	1722	149385
342	1727	149330
343	1732	149332
344	1736	149246
345	1741	149251
346	1745	149152
347	1750	149135
348	1754	149053
349	1760	149123
350	1765	149106
351	1770	149127
352	1777	149254
353	1783	149343
354	1788	149322
355	1794	149387
356	1798	149328
357	1802	149246
358	1807	149202
359	1811	149129
360	1816	149109
361	1820	149015
362	1824	148960
363	1829	148950
364	1835	148998
365	1840	149028
366	1845	149046
367	1851	149057
368	1855	149008
369	1859	148927
370	1865	148949
371	1869	148900
372	1874	148926
373	1879	148874
374	1885	148950
375	1890	148932
376	1894	148898
377	1897	148689
378	1902	148698
379	1908	148727
380	1913	148758
381	1919	148791
382	1923	148754
383	1928	148725
384	1933	148719
385	1939	148766
386	1943	148745
387	1950	148845
388	1955	148877
389	1960	148851
390	1967	149008
391	1976	149268
392	1984	149488
393	1989	149509
394	1996	149662
395	2001	149645
396	2006	149595
397	2011	149629
398	2017	149708
399	2023	149718
400	2028	149743
401	2033	149733
402	2041	149919
403	2046	149893
404	2051	149882
405	2055	149824
406	2059	149750
407	2064	149745
408	2071	149848
409	2075	149775
410	2079	149740
411	2083	149657
412	2089	149673
413	2093	149619
414	2097	149554
415	2102	149522
416	2107	149497
417	2111	149464
418	2115	149374
419	2121	149435
420	2127	149473
421	2131	149409
422	2136	149356
423	2140	149300
424	2144	149250
425	2149	149256
426	2154	149231
427	2158	149146
428	2165	149270
